,Review_title,Review_text,Ratings
4146,Good quality product,I bought it with no ratings was little skeptical but damn its really good .. haste processing and anti glare screen really keeps it smooth to watch movies .. its great fir office as well as for studies .. it is light and thin and has a classy look . Too happy!!,4
4147,Mind-blowing purchase,Good item and looking very smart,5
4148,Hated it!,"Received the product but the touchpad having a problem with touch issues. Right-click working good & fine but, left-click having touch issue. Microsoft office was given for 15 days only.",1
4149,Brilliant,Compact in design..slim..easy to carry..less weight..FHD display.. battery backup upto 2-3 hrs. max..fast charging.. overall value for money in this range.. volume is a bit lower..don't forget to revalidate warranty for 2 years..,5
4150,Highly recommended,Super product compact size more features than other in this range and value for money,5
4151,Utterly Disappointed,"Worst service from Lenovo, after 1 month I have facing issue with Display.
After many contacts No response from Lenovo.",1
4152,Simply awesome,Laptop was osm display is great speaker little bit more improve and battery,5
4153,Really Nice,Laptop performance is good but sound is too low.,4
4154,Bad quality,"Ok Good, but many queries in this Laptop. 1) Overheated in Laptop, 2) charging back in not much of details of Laptop
and 3) hanging issues. etc...",2
4155,Just wow!,Nice,5
4156,Waste of money!,Worst purchase ever,1
4157,Worth the money,Battery showing abnormal running hours from starting day,4
4158,Best in the market!,More improvement in sound sound quality is poor,5
4159,Decent product,Sound quality is very poor.,3
4160,Excellent,Best Laptop 👌,5
4161,Excellent,Nice product at this price..,5
4162,Absolute rubbish!,Within a month of purchase with less use keys are not working and display not upto the mark,1
4163,Great product,I loved the product..,5
4164,Brilliant,Very light weight.,5
4165,Very poor,"Don't buy this product, battery backup is not giving even more than 4hrs also without putting high load on the processor. If you call the lenovo team they are also not responding properly. Lenovo services is too bad. My simple suggestion is don't buy this laptop for that price, if we want 4hrs of battery backup means we can order the product ranging from 35-40k. Think of it before purchasing the product. With my personal experience I am telling this.",1
4166,Super!,Products were excellent and worthable for money but the delivery was delayed more than week of expected date.,5
4167,Must buy!,Product is very good but too much delay in delivery,5
4168,Pretty good,"Good Product,sound needs to improve",4
4169,Terrific,good laptop,5
4170,Nice product,Laptop is good if you're budget is tight to that price range,4
4171,Does the job,Poor sound quality and warrenty showing 17 month only,3
4172,Highly recommended,Best laptop in this amount..,5
4173,Just okay,"Sound was too low, performance is good",3
4174,Good choice,Good,4
4175,Mind-blowing purchase,Great product.,5
4176,Perfect product!,Awsm product and gud features loved it 🥰🥰,5
4177,Perfect product!,Nice,5
4178,Simply awesome,It is indeed a good product in this segment and the performance is excellent. In this price one should go with this product without any hesitation,5
4179,Nice product,"Very Good product, l just love it.",4
4180,Mind-blowing purchase,Nice laptop in good pricing,5
4181,Good choice,Very nice... looks small and so comfortable to use,4
4182,Must buy!,Ok,5
4183,Just wow!,Worth buying,5
4184,Highly recommended,"Amazing, nice one",5
4185,Bad quality,"Ok Good, but many queries in this Laptop. 1) Overheated in Laptop, 2) charging back in not much of details of Laptop
and 3) hanging issues. etc...",2
4186,Just wow!,Nice,5
4187,Waste of money!,Worst purchase ever,1
4188,Worth the money,Battery showing abnormal running hours from starting day,4
4189,Best in the market!,More improvement in sound sound quality is poor,5
4190,Decent product,Sound quality is very poor.,3
4191,Excellent,Best Laptop 👌,5
4192,Excellent,Nice product at this price..,5
4193,Absolute rubbish!,Within a month of purchase with less use keys are not working and display not upto the mark,1
4194,Great product,I loved the product..,5
4195,Terrific,"The laptop is good in the current price range with card offer the price offering is a total Worth it.
1) sound quality is good
2) Display is good
3) Touchpad is smooth
4) the keyboard is a little bit low Quality

Overall the price in which the laptop is available is worth it. But only if u r not looking for gaming and video editing",5
4196,Perfect product!,"This is the best laptop you can get in this price range
1.Best performance with dual channel ram with intel iris xe graphics

2.Battery is about 7-8 hours

3.Camera is enough to attend zoom meetings

4.Even with dual core, this is faster than my mi notebook 14 with i5 10 gen.

5.Display is true FHD.

6.Build quality is superb.

7.Can play GTA 5 at 45-47 Fps

You can blindly order this one, Just Go for IT!!!!!!!",5
4197,Super!,"I am sharing this review after 3 days of receiving the laptop
I received it on 27 jan
Performance wise the laptop is like fluid
Before buying this laptop i also read lots of reviews
So honestly if ur budget is to buy this laptop then definitely buy this than any other because this is the best laptop in this price category
So as a student just go for it",5
4198,Wonderful,"Using this for 2 months now and it's time to write a review on it.

First of all I want to clear this isn't a gaming laptop and don't buy this for just gaming.
This is good for work from home work like data management, video editing (not 4k), Photo editing Basic .

I'm giving this ⭐⭐⭐⭐/5 star, -⭐ is for battery and display, they can make them batter for this price range..",4
4199,Nice product,Good Performance Is Good & Battery Backup Is Good & Display Is Better Overall Good Thank you Flip cart,4
4200,Decent product,Battery is not good is not enough going even perform to 4-5 hours it's not good .,3
4201,Must buy!,Good looking & good performance,5
4202,Wonderful,"Very good. So, smooth and valu of money. But no touch screen as mention in product detail. Overall this is best",5
4203,Mind-blowing purchase,Nice,5
4204,Wonderful,"Best laptop under this price 🥰🥰❤️
But battery is not good",5
4205,Terrific,"The laptop is good in the current price range with card offer the price offering is a total Worth it.
1) sound quality is good
2) Display is good
3) Touchpad is smooth
4) the keyboard is a little bit low Quality

Overall the price in which the laptop is available is worth it. But only if u r not looking for gaming and video editing",5
4206,Perfect product!,"This is the best laptop you can get in this price range
1.Best performance with dual channel ram with intel iris xe graphics

2.Battery is about 7-8 hours

3.Camera is enough to attend zoom meetings

4.Even with dual core, this is faster than my mi notebook 14 with i5 10 gen.

5.Display is true FHD.

6.Build quality is superb.

7.Can play GTA 5 at 45-47 Fps

You can blindly order this one, Just Go for IT!!!!!!!",5
4207,Super!,"I am sharing this review after 3 days of receiving the laptop
I received it on 27 jan
Performance wise the laptop is like fluid
Before buying this laptop i also read lots of reviews
So honestly if ur budget is to buy this laptop then definitely buy this than any other because this is the best laptop in this price category
So as a student just go for it",5
4208,Wonderful,"Using this for 2 months now and it's time to write a review on it.

First of all I want to clear this isn't a gaming laptop and don't buy this for just gaming.
This is good for work from home work like data management, video editing (not 4k), Photo editing Basic .

I'm giving this ⭐⭐⭐⭐/5 star, -⭐ is for battery and display, they can make them batter for this price range..",4
4209,Nice product,Good Performance Is Good & Battery Backup Is Good & Display Is Better Overall Good Thank you Flip cart,4
4210,Decent product,Battery is not good is not enough going even perform to 4-5 hours it's not good .,3
4211,Must buy!,Good looking & good performance,5
4212,Wonderful,"Very good. So, smooth and valu of money. But no touch screen as mention in product detail. Overall this is best",5
4213,Mind-blowing purchase,Nice,5
4214,Wonderful,"Best laptop under this price 🥰🥰❤️
But battery is not good",5
4215,Classy product,Very good,5
4216,Worth every penny,Who are looking for a mid range student laptop...just go for itt.... amazing product....profomamance is excellent....❤️❤️❤️...But flipkart delivery is not good...!,5
4217,Mind-blowing purchase,Amazing product in this price range 😃...,5
4218,Really Nice,Just awesome,4
4219,Terrific,Superb laptop purchased from Flipkart. Thanks Flipkart for delivering on time and seller for nice packing. OTP based delivery is very Good. Ekart delivery executive very professional and polite. Laptop performance is awesome.,5
4220,Terrific,Good looking & exllent performance .,5
4221,Very Good,Colour is cool. Performance is also good at this price.,4
4222,Terrific,"Excellent working 😁

Students can by without any doubt",5
4223,Good quality product,Love it,4
4224,Unsatisfactory,This is worst product by lenovo and battery life is not enough only 2 hours ... Design and look is nice but performance is average ... Don't buy it,5
4225,Fair,Not Good for Online Classes Since Camera is poor. Rest all good.,3
4226,Super!,Nice Laptop 🙂🙂,5
4227,Horrible,Battery time is very less.,1
4228,Horrible,After 5 days microphone is not working don't buy this laptop,1
4229,Value-for-money,Value for money,4
4230,Super!,"Good one.. battery backup is fine , good speed , internet connectivity sometimes seems laggy. Has 2 yr warranty and 1 yr antivirus included",5
4231,Good choice,All over good performance. Mainly using on office purpose. The charge port ise only problem.,4
4232,Perfect product!,Good product in this segment and value for money.,5
4233,Just wow!,Good product for normal use,5
4234,Terrific purchase,Bast,5
4235,Super!,Very good laptop. But Flipkart delivery is disappointing.,5
4236,Moderate,"Mentioned touchscreen in details but its not working, i installed drivers too but its not working",2
4237,Fabulous!,good product best price,5
4238,Nice product,Performance wise it is good laptop. Battery also good. Only problem with display that video experience is not good,4
4239,Unsatisfactory,"Battery dry very fast,and display worst quality.",1
4240,Very Good,Best in market,4
4241,Could be way better,Jusk ok look good but build quality is not so good. Sound is also low. Just ok. Performance wise good. Keyboard is not good. Battery is worst. Drain very soon from normal use. Not reccommended.,2
4242,Great product,"Good enough in this price range. Built quality was little low , and sound also low. rest was excellent",5
4243,Mind-blowing purchase,Good,5
4244,Wonderful,Good product.,4
4245,Very Good,Good one,4
4246,Does the job,Good,3
4247,Awesome,Good product,5
4248,Highly recommended,Overall product performance is good for office use. Battery backup not upto the mark. Only getting 3 to 4 hrs for normal use.and battery warranty showing 1 year.,5
4249,Good,"It's my genuine review.

It is good under the price range of 35-36k.
Please don't consider if display & camera is priority.

Cons
1.Display quality is not good specially for long 7-8 hrs continue work.It causes eye pain.
2.Camera quality is average.

Pros
1.Awesome performance.
2.No heating issue.
3.light weight.
4.quick charging mode
5.battery Backup 4 hours almost
6.Two years onsite warranty",3
4250,Super!,Good,5
4251,Awesome,Just great 👍,5
4252,Good choice,All good 🙂,4
4253,Best in the market!,"I am a normal user and it didn't disappointed me, in every aspect, it is good, less bezel, fast charging, if you needs are basic, go ahead and purchase it.",5
4254,Fair,Not good,3
4255,Did not meet expectations,Battery issue and microphone not working,1
4256,Terrific,Value for money,5
4257,Simply awesome,A very good product for normal use.The features ate added advantage.,5
4258,Good quality product,"Model 15ITL6. 8 GB/256 GB SSD
After going through reviews of various brands and models, I preferred this laptop. After using it for last three weeks I am fully satisfied with its wonderful performance. Very fast booting, very sensitive touch pad. Battery backup up to 5 hours. Sturdy built and nice design. But I give one star less because Display quality is not as expected. It is the best laptop under price range of 40k. Go for it. One thing that puzzles me is that when I open the laptop it ...
READ MORE",4
4259,Fabulous!,"Good product in this price range battery life upto 6 hours ,one issue is backlight keyboard otherwise firstclass laptop",5
4260,Simply awesome,Good to buy,5
4261,Excellent,So much happy with tis product,5
4262,Nice product,Good,4
4263,Good choice,Good performance,4
4264,Value-for-money,Best product,4
4265,Must buy!,I brought this for trading in stocks.. Laptop uis fast.. Nice Design . light weight.. Good Battery backup... screen is average... like old LED have to see from a perticular viewing angle only....,5
4266,Brilliant,Premium looking laptop display is osm and big laptop performance is good,5
4267,Brilliant,Exlent,5
4268,Excellent,Excellent laptop in every aspect. Go for it.,5
4269,Delightful,It good laptop 256 ssd its a good speed but keyboard little bit disappointed rest its a perfect laptop,4
4270,Waste of money!,Not buy this laptop,1
4271,Expected a better product,"Battery life poor , you can maximum play 1hour 30min Minecraft without charging",2
4272,Terrific purchase,Vry gd,5
4273,Fabulous!,"Overall Performance quite good , Bettry backup is great , While update the laptop there is some issue , laptop was keeping on and off it's too irritating for me .. Overall 4 Star form my side",5
4274,Excellent,Awsome..value for money,5
4275,Awesome,Nice,5
4276,Perfect product!,Good,5
4277,Really Nice,Good but full body laptop is plastic,4
4278,Great product,Good Product,5
4279,Horrible,Worst laptop ever not open at all after 2 days of use please don't buy ....,1
4280,Nice,Good porformanc,3
4281,Slightly disappointed,storage space very low,2
4282,Terrific purchase,Excellent,5
4283,Wonderful,"Good laptop , Works smoothly
It's sound quality is really awesome ✌️",4
4284,Just wow!,This laptop very hood for most of the things,5
4285,Wonderful,"Nice product ,value for money",5
4286,Simply awesome,Amazing product,5
4287,Simply awesome,"Happy with Flipkart service and also with delivery guy.
One suggestion is that ekart can deliver as before expected date given.",5
4288,Pretty good,"Speed, performance, ram management is fine.. battery drains faster",4
4289,Awesome,Good,5
4290,Wonderful,i m satisfaction,5
4291,Nice product,Good,4
4292,Worst experience ever!,Bad product,1
4293,Must buy!,"About service : Flipkart delivered this very quick, on time, packaging was satisfactory

About product :
1) Genuine product, not fake/refurbished

Cons :
.) Build could have been better
.) Camera is not too good .... tbf I expected a bit more for 720p

Pros:
.) Performance is smooth
.) when I did a warranty lookup it said 2 yrs left, although I didn't pay extra.... bit confused
.) Value for money",5
4294,Classy product,Very good,5
4295,Worth every penny,Who are looking for a mid range student laptop...just go for itt.... amazing product....profomamance is excellent....❤️❤️❤️...But flipkart delivery is not good...!,5
4296,Mind-blowing purchase,Amazing product in this price range 😃...,5
4297,Really Nice,Just awesome,4
4298,Terrific,Superb laptop purchased from Flipkart. Thanks Flipkart for delivering on time and seller for nice packing. OTP based delivery is very Good. Ekart delivery executive very professional and polite. Laptop performance is awesome.,5
4299,Terrific,Good looking & exllent performance .,5
4300,Very Good,Colour is cool. Performance is also good at this price.,4
4301,Terrific,"Excellent working 😁

Students can by without any doubt",5
4302,Good quality product,Love it,4
4303,Unsatisfactory,This is worst product by lenovo and battery life is not enough only 2 hours ... Design and look is nice but performance is average ... Don't buy it,5
4304,Mind-blowing purchase,Camera is good...Microphone is also good....Super product....,5
4305,Nice product,Not working in vu premium Android 43inch FHD 2019 model tv,4
4306,Pretty good,Good Value for money. Sound is also good.,4
4307,Awesome,Superb image and video quality but we need to adjust the lens focal length to get so.. rest is fine.,5
4308,Pretty good,"Fabulous product, worth for money and best for online class but camera quality is medium but worth for rate and Hp company alway give his best as well as thi...
Read full review",4
4309,Utterly Disappointed,"Just ok only, please go on long time use, don't buy the temporary using..",1
4310,Terrible product,USB not recognized after three months.,1
4311,Terrible product,USB not recognized after three months.,1
4312,Simply awesome,Good 👍,5
4313,Simply awesome,Good 👍,5
4314,Mind-blowing purchase,Camera is good...Microphone is also good....Super product....,5
4315,Nice product,Not working in vu premium Android 43inch FHD 2019 model tv,4
4316,Pretty good,Good Value for money. Sound is also good.,4
4317,Awesome,Superb image and video quality but we need to adjust the lens focal length to get so.. rest is fine.,5
4318,Pretty good,"Fabulous product, worth for money and best for online class but camera quality is medium but worth for rate and Hp company alway give his best as well as thi...
Read full review",4
4319,Utterly Disappointed,"Just ok only, please go on long time use, don't buy the temporary using..",1
4320,Terrible product,USB not recognized after three months.,1
4321,Terrible product,USB not recognized after three months.,1
4322,Simply awesome,Good 👍,5
4323,Simply awesome,Good 👍,5
4324,Perfect product!,nice web cam . costomer is very happy 😃😃👍👍👌,5
4325,Perfect product!,nice web cam . costomer is very happy 😃😃👍👍👌,5
4326,Hated it!,"Mic is not working properly and sometimes vision getting blank then we plugout and plugin to work
not satisfied for this product",1
4327,Hated it!,"Mic is not working properly and sometimes vision getting blank then we plugout and plugin to work
not satisfied for this product",1
4328,Best in the market!,very good product . Value for money,5
4329,Absolute rubbish!,Poor product. Video works. Audio does not work. Why is that? Probably and out dated product which does not work on Windows 10 OS.,1
4330,Terrible product,"Very bad quality
Camera become defective in 2 days
Due to defective camera one Ram burnt
Dont buy this .. it will distoy your pc very bad quality",1
4331,Terrible product,"Very bad quality
Camera become defective in 2 days
Due to defective camera one Ram burnt
Dont buy this .. it will distoy your pc very bad quality",1
4332,Pretty good,"Fabulous product, worth for money and best for online class but camera quality is medium but worth for rate and Hp company alway give his best as well as thi...
Read full review",4
4333,Utterly Disappointed,"Just ok only, please go on long time use, don't buy the temporary using..",1
4334,Super!,Good,5
4335,Super!,Good,5
4336,Simply awesome,"Excellent webcam for clarity. Got it for just 1350. Awesome clarity and dual noise cancelling microphones work really well. Just go for it.
You get all prem...
Read full review",5
4337,Terrific purchase,"This product is really nice,
Work from home employees have an advantage of clarity which is amazing for video conferencing with HD quality. And has dual Mik...
Read full review",5
4338,Pretty good,"Fabulous product, worth for money and best for online class but camera quality is medium but worth for rate and Hp company alway give his best as well as thi...
Read full review",4
4339,Utterly Disappointed,"Just ok only, please go on long time use, don't buy the temporary using..",1
4340,Wonderful,"It works as i expected, good picture quality. But if you are depending on the Mike this may not be a right product , because of the low volume.",4
4341,Moderate,"Very bad quality of camera
It's give blackish image in normal light

For clear image , one should have very high quality light in front of face

It's plug ...
Read full review",2
4342,Worthless,Very disappointing. Problematic and worst one,1
4343,Delightful,It's good and camera quality is nice,4
4344,Perfect product!,nice web cam . costomer is very happy 😃😃👍👍👌,5
4345,Perfect product!,nice web cam . costomer is very happy 😃😃👍👍👌,5
4346,Hated it!,"Mic is not working properly and sometimes vision getting blank then we plugout and plugin to work
not satisfied for this product",1
4347,Hated it!,"Mic is not working properly and sometimes vision getting blank then we plugout and plugin to work
not satisfied for this product",1
4348,Best in the market!,very good product . Value for money,5
4349,Absolute rubbish!,Poor product. Video works. Audio does not work. Why is that? Probably and out dated product which does not work on Windows 10 OS.,1
4350,Terrible product,"Very bad quality
Camera become defective in 2 days
Due to defective camera one Ram burnt
Dont buy this .. it will distoy your pc very bad quality",1
4351,Terrible product,"Very bad quality
Camera become defective in 2 days
Due to defective camera one Ram burnt
Dont buy this .. it will distoy your pc very bad quality",1
4352,Pretty good,"Fabulous product, worth for money and best for online class but camera quality is medium but worth for rate and Hp company alway give his best as well as thi...
Read full review",4
4353,Utterly Disappointed,"Just ok only, please go on long time use, don't buy the temporary using..",1
4354,Value-for-money,"A bit expensive when we compare with today's intel (11th gen) or AMD (Ryzen 5th gen) based windows Laptops with RTX 30 Graphics but this Apple M1 in terms of overall performance, it is far beyond what windows laptops can offer in same segment.

I won't compare it with windows laptops as we all are aware of it. This is more about M1 chip. People are worried about buying M1 version because of compatibility issues.
Don't worry, this processor is so powerful and in terms of compatibility, this ...
READ MORE",4
4355,Classy product,"Fantastic value for money machine!! Absolute beast as far as sheer performance is concerned that being super efficient on the battery.
1. Using it mainly for coding purposes, browsing and all that regular stuff. Haven’t played any games on it so I can’t comment on battery life and performance while gaming but with regular coding stuff like web development, mobile app development, web browsing etc the battery will easily last for 10+ hrs or even more.

2. Apple nailed the thermals on this mac...
READ MORE",5
4356,Highly recommended,"The best you can get, looks and performance both are to notch, supreme battery life, ultra fast speed. Display and sounds are fantastic, never seen any better till now. Till now it was, Apple was offering 7 at the price of 10, looks were alaways 10 out of 10 but now Apple is giving 15 at the price of 10.. Absolutely worth the price.",5
4357,Just wow!,"Ultimate machine, best laptop I have ever used hands down. M1 macbook air is more powerful than any previous generation Mac or any Windows laptop. Awesome purchase. Thank you Flipkart",5
4358,Mind-blowing purchase,"For everyone, who is planning to buy MBA M1-

Pros-
Blazing fast- M1 is so ahead in performance
Battery is amazing (I use it entire day for work)
Build quality is top notch undoubtedly

Cons-
Webcam is grainy (no update has been able to fix it)- Not a major concern but for the price you pay it is indeed expected.
Color- I opted for Gold (after seeing all the images online), however it has a rose tint and looks pinkish in indoor lights. Its not gold-gold, its pinkish-gold.

P.S. I recently upg...
READ MORE",5
4359,Mind-blowing purchase,Got a timely delivery and a good product. Good purchase for the price. Keep in mind the softwares are upgrading to support M1 architecture. Overall very good product at a very competitive pricing.,5
4360,Fabulous!,"So it’s the best computer in the world rite now Period.
You don’t need to worry about anything and I’m not gonna say about performance cause there are a lot of videos on YouTube already and of course there are other upgrades you can do to your laptop may be you need pro but this is nothing less..
thanks to Flipkart for amazing and timely and secure delivery
Great service keep the good work and keep getting better👍🏼",5
4361,Classy product,"At the current scenario where a proper Graphics card windows laptop is costing around 1.2 lakh at a min.
This MacBook Air M1 is the best deal and I got it around 82k so I received the best deal.
So we can now say Apple Laptop is cheaper in price than Windows.",5
4362,Terrific,"The following is a detailed usage review.
First of all, I Thank Flipkart for the fast delivery, that too a day before the promised delivery date.
This is by far the best laptop you could get for the price range. As a person who have been a windows user all my life, MacOS is a totally different experience for me. The aluminium build, the performance, the display and the compactness of this machine has surprised me.

PROS:
1. The M1 Chip - This chip is the sole reason that narrowed me down to...
READ MORE",5
4363,Very Good,"If You are going to buy a laptop worth 85k go for it
No one can beat it from design,battery, performance,speakers
1. I never heard this type of loudness in speakers of any laptop
2. Built is awesome
3. What a top notch performance I am a software developer I use VScode, Postman,mongodb Compass, Chrome, Git they work like a charm
4. You will never face a Lag
5. I opened 30+ Chrome tabs with postman,VScode,mongodb Compass, with node server
And never faced an issue.
6. 2k Display is just awesom...
READ MORE",4
4364,Value-for-money,"A bit expensive when we compare with today's intel (11th gen) or AMD (Ryzen 5th gen) based windows Laptops with RTX 30 Graphics but this Apple M1 in terms of overall performance, it is far beyond what windows laptops can offer in same segment.

I won't compare it with windows laptops as we all are aware of it. This is more about M1 chip. People are worried about buying M1 version because of compatibility issues.
Don't worry, this processor is so powerful and in terms of compatibility, this ...
READ MORE",4
4365,Classy product,"Fantastic value for money machine!! Absolute beast as far as sheer performance is concerned that being super efficient on the battery.
1. Using it mainly for coding purposes, browsing and all that regular stuff. Haven’t played any games on it so I can’t comment on battery life and performance while gaming but with regular coding stuff like web development, mobile app development, web browsing etc the battery will easily last for 10+ hrs or even more.

2. Apple nailed the thermals on this mac...
READ MORE",5
4366,Highly recommended,"The best you can get, looks and performance both are to notch, supreme battery life, ultra fast speed. Display and sounds are fantastic, never seen any better till now. Till now it was, Apple was offering 7 at the price of 10, looks were alaways 10 out of 10 but now Apple is giving 15 at the price of 10.. Absolutely worth the price.",5
4367,Just wow!,"Ultimate machine, best laptop I have ever used hands down. M1 macbook air is more powerful than any previous generation Mac or any Windows laptop. Awesome purchase. Thank you Flipkart",5
4368,Mind-blowing purchase,"For everyone, who is planning to buy MBA M1-

Pros-
Blazing fast- M1 is so ahead in performance
Battery is amazing (I use it entire day for work)
Build quality is top notch undoubtedly

Cons-
Webcam is grainy (no update has been able to fix it)- Not a major concern but for the price you pay it is indeed expected.
Color- I opted for Gold (after seeing all the images online), however it has a rose tint and looks pinkish in indoor lights. Its not gold-gold, its pinkish-gold.

P.S. I recently upg...
READ MORE",5
4369,Mind-blowing purchase,Got a timely delivery and a good product. Good purchase for the price. Keep in mind the softwares are upgrading to support M1 architecture. Overall very good product at a very competitive pricing.,5
4370,Fabulous!,"So it’s the best computer in the world rite now Period.
You don’t need to worry about anything and I’m not gonna say about performance cause there are a lot of videos on YouTube already and of course there are other upgrades you can do to your laptop may be you need pro but this is nothing less..
thanks to Flipkart for amazing and timely and secure delivery
Great service keep the good work and keep getting better👍🏼",5
4371,Classy product,"At the current scenario where a proper Graphics card windows laptop is costing around 1.2 lakh at a min.
This MacBook Air M1 is the best deal and I got it around 82k so I received the best deal.
So we can now say Apple Laptop is cheaper in price than Windows.",5
4372,Terrific,"The following is a detailed usage review.
First of all, I Thank Flipkart for the fast delivery, that too a day before the promised delivery date.
This is by far the best laptop you could get for the price range. As a person who have been a windows user all my life, MacOS is a totally different experience for me. The aluminium build, the performance, the display and the compactness of this machine has surprised me.

PROS:
1. The M1 Chip - This chip is the sole reason that narrowed me down to...
READ MORE",5
4373,Very Good,"If You are going to buy a laptop worth 85k go for it
No one can beat it from design,battery, performance,speakers
1. I never heard this type of loudness in speakers of any laptop
2. Built is awesome
3. What a top notch performance I am a software developer I use VScode, Postman,mongodb Compass, Chrome, Git they work like a charm
4. You will never face a Lag
5. I opened 30+ Chrome tabs with postman,VScode,mongodb Compass, with node server
And never faced an issue.
6. 2k Display is just awesom...
READ MORE",4
4374,Must buy!,"Upgraded from 2013 MacBook Pro and I am happy with the purchase. Design wise it’s huge upgrade and also in terms of performance it’s super fast.
Will see how well it performs when running different IDEs as I am a programmer.
Just want to thank Flipkart for fast delivery",5
4375,Classy product,"Migrated from 2016 MacBook Air. Brand new, sealed pack product, authentic product was delivered by Flipkart. Transition from old laptop was very smooth. Best in class Laptop. Super happy with the Retina Screen, new speaker system, butterfly smooth key board, long battery life. Only thing that could have helped more is one USB port, I had to buy an USB type C to Type A extender separately.",5
4376,Mind-blowing purchase >>> Just for it,"Bought this laptop a week ago and I can say proudly that this is the best machine to date that I have used for my day-to-day tasks. Here are some pros and cons:

Pros:
* Blazing fast performance in every task that you throw at it.
* Insane battery life (14- 15 Hours) on a single charge.
* The Retina display with true tone technology gives you very natural colors which have support for the P3 color gamut.
* Instant wake up after sleep.
* The OS Ma Big Sur makes every task very smoothly.
* No t...
READ MORE",5
4377,Simply awesome,"Amazing laptop, super performance with M1, its blazing fast.
Audio is very loud, screen quality is brilliant, with these two watching movie experience is amazing.
Camera is decent quality, not great but still good. I dont use much camera so not a worry part for me.
If you are looking great laptop in day to day life and wants to do some coding with entertainment then this is for you.
Cheers",5
4378,Simply awesome,"My first Macbook and no regret that I waited for this.
Sleek design, lightning speed, super light weight and silent as a wolf.
If you want to have a laptop that is super cool in look as well as performance, go for it.",5
4379,Awesome,Amazed performance of MI chip. Looks no doubt premium. Outstanding battery backup. Buit quality is very good. After full charge I used it for 2 days (more than 16 hrs) still more than 20% charge remaining. Best and suitable for high end users like coder/IT persons.,5
4380,Super!,"This is truly a mean machine, l was in a mind set to continue with windows, but if you are not much concerned about game and a professional , close your eyes buy this. This functions like a ipad superfast to open and runs fine with day to day work. Battery life is awesome.

Pros: battery life, best display, premium built quality, M1 chip
Cons: nothing much so far to be honest but you have to keep in mind though its a 🍏 you won't be able to manage 3rd party application easily.

With a minimum...
READ MORE",5
4381,Nice product,"Battery is amazing
laptop gets a bit warm while doing moderate task such as having 5-6 edge tabs with few other applications open
Ram Management is nice, could be better in future when more and more software gets arm update
IOS simulator with vs code and egde works like butter",4
4382,Classy product,"Amazing product, I think most of people won't need more than this. It provides best value for money. I am using this for mobile app development and it works like charm.",5
4383,Just okay,"No doubt, the laptop is very good. But this 3 star is only for the apple company itself. There is no USB port or card reader port. You will just get 2 type C port and eventually you have to shed extra 6-8k to buy a good quality dock(connector) for this laptop so that you can connect your hard drives, iphone or card reader, etc. Also, even to get a 512GB variant you have to pay a whooping 20k extra. This is insane. Instead of buying 512Gb variant I would suggest to buy a external SSD. I didn’t...
READ MORE",3
4384,Awesome M1 chip air,"I was in an ocillation to buy M1 air or Pro, finally went with air, I am glad that I saved money by not going to pro, as air matched my performance requirement, previously I was using Macbook Pro 2017 model with i7 intel plus 16GB RAM which use to heat up a lot for chrome usage (many tabs with google meet call with screen sharing and cam on), 90% of the time fan use to kick in, but Air does the job without any hesitation and no heat at all, thanks to Apple and Flipkart for 2nd-day delivery. T...
READ MORE",5
4385,Simply awesome,If u have the budget then go for it. It’s a very small and sleek device with very good performance and awesome battery life. No regrets.,5
4386,Pretty good,Overall laptop is Good But if you have money buy 16 inch this is very small performance is awesome and the best thing is battery backup of this laptop is outstanding.,4
4387,Fabulous!,"I'm new to MacBook and Apple Ecosystem. But, I've to say, this MacBook Air M1 is so awesome that I'm totally impressed. Yet to get used to all the keyboard shortcuts and as coming from the Windows maybe it'll take a while to get used to it.

Great build quality.
Great display.
Amazing battery life.
Amazing performance.
Great sound quality.

It's a completely balanced package. I highly recommend it instead of high-end and more pricey Windows laptops.",5
4388,Wonderful,"Best device you can get.
An all new revolutionary chip which boosts its performance better than any other device.
A full power packed device, with high battery backup(14hrs min on cont usage) great display quality! Doesnt even lags for a sec. Handels all the heavy duty work like a pro!
Looks wise best on the market.
My first mac purchase. You might take 3 to 4 days to get used to it and the shortcuts and gestures. But once u are done, its the best device u can get!",5
4389,Worth every penny,"Amazing thing you can get man!
Don't go for windows if you really want to
Windows is more flexible but mac is blazingly fast in everything !
Jts super portable, super powerful machine which just sips power !
It's a go to any business trip, school/college work machine which will last 12-14 hrs with hardcore usage
Video playback is around 13 hrs
With normal usage expect 18 hrs as promised by the company
My advice :
First charge should be 100 percent
Rest every charge should be done max...
READ MORE",5
4390,Classy product,"I am finally ended up buying this baby after months lf researching its display is drop dead gorgeous there are better display panels pit there however for the size it has a stunning display keyboard is tactile the touchpad is massive. Speaker when reviewers said it has a great speaker for its size i didn’t take it seriously the highs and lows sound amazing, there’s no way you can be disappointed rather be shocked. I haven’t given this a full drive until yet so wont comment it on performance b...
READ MORE",5
